Q6GZX4	D	RecName: Full=Putative transcription factor 001R;
Q6GZX4	T	654924
Q6GZX4	G	GO:0006355
Q6GZX4	G	GO:0046782
Q6GZX4	G	GO:0006351
Q6GZX3	D	RecName: Full=Uncharacterized protein 002L;
Q6GZX3	T	654924
Q6GZX3	G	GO:0033644
Q6GZX3	G	GO:0016021
Q197F8	D	RecName: Full=Uncharacterized protein 002R;
Q197F8	T	345201
Q197F7	D	RecName: Full=Uncharacterized protein 003L;
Q197F7	T	345201
Q6GZX2	D	RecName: Full=Uncharacterized protein 3R;  Flags: Precursor;
Q6GZX2	T	654924
Q6GZX1	D	RecName: Full=Uncharacterized protein 004R;
Q6GZX1	T	654924
Q6GZX1	G	GO:0033644
Q6GZX1	G	GO:0016021
Q197F5	D	RecName: Full=Uncharacterized protein 005L;  Flags: Precursor;
Q197F5	T	345201
Q6GZX0	D	RecName: Full=Uncharacterized protein 005R;
Q6GZX0	T	654924
Q91G88	D	RecName: Full=Putative KilA-N domain-containing protein 006L;
Q91G88	T	176652
Q6GZW9	D	RecName: Full=Uncharacterized protein 006R;
Q6GZW9	T	654924
Q6GZW8	D	RecName: Full=Uncharacterized protein 007R;
Q6GZW8	T	654924
Q197F3	D	RecName: Full=Uncharacterized protein 007R;
Q197F3	T	345201
Q197F2	D	RecName: Full=Uncharacterized protein 008L;
Q197F2	T	345201
Q6GZW6	D	RecName: Full=Putative helicase 009L;  EC=3.6.4.-;
Q6GZW6	T	654924
Q6GZW6	G	GO:0005524
Q6GZW6	G	GO:0003677
Q6GZW6	G	GO:0004386
Q91G85	D	RecName: Full=Uncharacterized protein 009R;  Flags: Precursor;
Q91G85	T	176652
Q6GZW5	D	RecName: Full=Uncharacterized protein 010R;
Q6GZW5	T	654924
Q6GZW5	G	GO:0033644
Q6GZW5	G	GO:0016021
Q197E9	D	RecName: Full=Uncharacterized protein 011L;
Q197E9	T	345201
Q6GZW4	D	RecName: Full=Uncharacterized protein 011R;
Q6GZW4	T	654924
Q6GZW4	G	GO:0033644
Q6GZW4	G	GO:0016021
Q6GZW3	D	RecName: Full=Uncharacterized protein 012L;
Q6GZW3	T	654924
Q197E7	D	RecName: Full=Uncharacterized protein IIV3-013L;
Q197E7	T	345201
Q197E7	G	GO:0033644
Q197E7	G	GO:0016021
Q6GZW2	D	RecName: Full=Uncharacterized protein 013R;
Q6GZW2	T	654924
Q6GZW1	D	RecName: Full=Uncharacterized protein 014R;
Q6GZW1	T	654924
